"annotation_id","annotator","created_at","id","img","kp-1","lead_time","updated_at"
3,"1","2025-11-05T13:23:06.367135Z",1,"/data/upload/1/3a8526db-43_Color.png","[{""x"":54.15969373536317,""y"":55.7536548980351,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":65.72646249794072,""y"":38.22489723651132,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":61.37191425791152,""y"":27.202447003937415,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":88.99607965559676,""y"":35.545829471649604,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":84.68340207172169,""y"":47.04560756317604,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":63.66286456246423,""y"":51.936691479678174,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",37.553,"2025-11-05T13:23:06.367149Z"
4,"1","2025-11-05T13:23:56.013804Z",2,"/data/upload/1/f279869a-37_Color.png","[{""x"":53.343215940357666,""y"":63.06917311843109,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":71.44180706297905,""y"":31.20305469992844,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":75.0773073040537,""y"":19.815589976787816,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":53.207941512782796,""y"":13.696535791955744,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":75.0773073040537,""y"":16.10611153313314,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":60.36621330528642,""y"":66.1682180504899,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280}]",40.062,"2025-11-05T13:23:56.013821Z"
5,"1","2025-11-05T13:24:18.797371Z",3,"/data/upload/1/6e7005fb-33_Color.png","[{""x"":18.440786890795746,""y"":62.26591990528052,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":24.617747035952185,""y"":45.95128790903632,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":2.8702305961199857,""y"":45.640806233975255,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":18.104531452449145,""y"":24.46595599481122,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":39.74165440781518,""y"":19.00147851373664,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":79.81448926902883,""y"":21.29904290918845,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":78.60016093990114,""y"":31.607034521215517,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":80.25606320689344,""y"":65.38744076785842,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",22.414,"2025-11-05T13:24:18.797405Z"
6,"1","2025-11-05T13:24:45.704382Z",4,"/data/upload/1/83f634c6-32_Color.png","[{""x"":39.26473503022683,""y"":60.01286346878831,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":11.915806243176698,""y"":36.29924258793022,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":31.29693687966892,""y"":33.715091836397924,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":19.5246945671329,""y"":15.747168642149928,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":41.41819398983708,""y"":15.868300708628006,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":78.67303399109434,""y"":19.94641361338991,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":75.01215375975693,""y"":29.596601576143332,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":72.715130869506,""y"":58.30490133144743,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",26.574,"2025-11-05T13:24:45.704393Z"
7,"1","2025-11-05T13:25:07.581210Z",5,"/data/upload/1/8aa3e580-22_Color.png","[{""x"":24.972443261189582,""y"":71.56590925758212,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":40.17277689152915,""y"":41.11585732465346,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":49.056512919574615,""y"":31.489088228085805,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":43.700142667370734,""y"":22.082779492508248,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":62.90468966917491,""y"":24.654817037392736,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":55.52335017528419,""y"":28.990537470198014,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":59.37732389333333,""y"":40.63819320917491,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":71.52713934345434,""y"":71.28218338679866,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",21.532,"2025-11-05T13:25:07.581223Z"
8,"1","2025-11-05T13:25:26.813247Z",6,"/data/upload/1/9b4ad783-200_Color.png","[{""x"":19.309061543310595,""y"":83.97753326674278,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":31.093076098159145,""y"":51.07331696270626,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":40.630028010619725,""y"":46.07621544693068,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":36.8413758810121,""y"":34.75925024943894,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":57.48299782852951,""y"":38.98474050174917,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":36.71073270412907,""y"":52.322592341650164,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":49.77505039243124,""y"":61.214493568250816,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":53.10645140294829,""y"":84.62003522669967,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",18.901,"2025-11-05T13:25:26.813261Z"
9,"1","2025-11-05T13:25:49.416062Z",7,"/data/upload/1/87092f2e-199_Color.png","[{""x"":12.901013717198385,""y"":84.70454503174587,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":34.81640663932527,""y"":51.55098107818481,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":42.197746133215986,""y"":49.12591710729372,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":32.0728999247818,""y"":33.65694844448844,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":53.498380933597346,""y"":36.37595956336633,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":41.41388707191785,""y"":51.47749429118811,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":55.45802858684268,""y"":59.156863532343216,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":57.74428418229556,""y"":82.15822786231021,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",22.266,"2025-11-05T13:25:49.416075Z"
10,"1","2025-11-05T13:26:06.677917Z",8,"/data/upload/1/66650ec0-198_Color.png","[{""x"":14.945579435417672,""y"":81.43856955264798,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":34.22198018450751,""y"":49.82036724441254,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":42.37411442200806,""y"":45.61692302820131,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":29.72132274088742,""y"":30.18837209824422,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":51.035757049352405,""y"":30.713802625270624,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":45.68591895599266,""y"":47.814177959402635,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":57.91412031224349,""y"":52.54305270264027,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":70.05740360352034,""y"":69.59566162522441,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",16.919,"2025-11-05T13:26:06.677930Z"
11,"1","2025-11-05T13:26:31.200662Z",9,"/data/upload/1/5b109990-197_Color.png","[{""x"":14.86066137044371,""y"":76.90392259204619,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":35.11556372729006,""y"":45.70906415343564,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":42.710269365603224,""y"":41.350449760066006,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":29.44496217440411,""y"":25.74863959768977,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":51.05133373582692,""y"":26.0595452349835,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":46.177338290575726,""y"":43.63984581650164,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":59.442645481774846,""y"":48.04905303630363,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":71.65275778276494,""y"":63.905240538283834,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",24.176,"2025-11-05T13:26:31.200676Z"
12,"1","2025-11-05T13:26:53.272738Z",10,"/data/upload/1/5f7a08d2-196_Color.png","[{""x"":16.565068920078822,""y"":69.6176601846527,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":38.226615370119355,""y"":39.12788651038041,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":45.50843109911766,""y"":34.65642060625114,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":31.31913565898251,""y"":19.166050789820705,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":52.88313070287211,""y"":18.98226674115119,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":48.542326505725505,""y"":36.83557432618966,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":62.68494663191283,""y"":40.616274755962515,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":72.16003536331885,""y"":63.58928083965171,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",21.699,"2025-11-05T13:26:53.272752Z"
13,"1","2025-11-05T13:27:12.531565Z",11,"/data/upload/1/ff5bc683-195_Color.png","[{""x"":12.665855998808947,""y"":69.08953901661351,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":38.14780764984231,""y"":38.47033299277228,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":48.337975446718,""y"":35.05319739742574,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":37.23330541166116,""y"":19.84143248910891,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":58.33217847826916,""y"":21.274424835544554,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":52.12662757632563,""y"":34.72250685594059,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":61.40229313502016,""y"":41.18934411165016,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":74.00935970423174,""y"":70.14313818834982,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",18.887,"2025-11-05T13:27:12.531577Z"
14,"1","2025-11-05T13:28:06.259994Z",12,"/data/upload/1/150db78d-194_Color.png","[{""x"":5.095083898437843,""y"":68.97469827510231,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":44.41214798138321,""y"":40.362617757937294,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":42.50927986270627,""y"":22.49826248052805,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":62.959961782471574,""y"":25.409469811551162,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":56.22681343542354,""y"":45.477015491419145,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":71.25077877697102,""y"":73.57157944323433,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",53.328,"2025-11-05T13:28:06.260008Z"
15,"1","2025-11-05T13:28:28.616746Z",13,"/data/upload/1/70d6677e-193_Color.png","[{""x"":15.957683059675935,""y"":70.78461012911183,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":33.46143921855922,""y"":43.017413351829696,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":49.47433917463541,""y"":33.73062158851051,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":43.45569746700678,""y"":21.741652957603453,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":64.93507016670898,""y"":23.915818253363803,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":44.22873401661045,""y"":38.42060672650781,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":58.41947639147798,""y"":46.55819683349654,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":55.82428226066563,""y"":73.95267956007689,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",22.01,"2025-11-05T13:28:28.616758Z"
16,"1","2025-11-05T13:28:49.548396Z",14,"/data/upload/1/3d310c9e-192_Color.png","[{""x"":14.828000576222955,""y"":67.40725891238475,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":28.54553414894022,""y"":38.249872631782175,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":42.19774613321598,""y"":30.93793732561056,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":32.13822151322332,""y"":17.04893458323432,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":53.89031046424642,""y"":18.224723175181516,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":41.47920866035936,""y"":35.31040115191419,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":56.437852413465336,""y"":41.81398180112211,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":66.43205544501649,""y"":63.52932735864686,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",20.585,"2025-11-05T13:28:49.548408Z"
17,"1","2025-11-05T13:29:07.702635Z",15,"/data/upload/1/42138001-191_Color.png","[{""x"":14.305427868690867,""y"":66.17485169052804,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":32.203543101664835,""y"":40.45447624168316,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":46.770257324121744,""y"":32.040239130561055,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":33.64061804737807,""y"":18.261466568679865,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":53.6943456989219,""y"":18.004262814191417,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":47.42347320853685,""y"":36.41270295686468,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":63.231297611382466,""y"":39.90332533920792,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":64.73369414553721,""y"":67.0934365279868,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",17.74,"2025-11-05T13:29:07.702655Z"
