"annotation_id","annotator","created_at","id","img","kp-1","lead_time","updated_at"
99,"1","2025-11-05T14:07:45.221020Z",97,"/data/upload/2/6d1530f9-100_Color.png","[{""x"":16.813776864844883,""y"":80.31451124953924,""width"":0.7276034561164165,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":32.18394662513238,""y"":55.9822343340858,""width"":0.7276034561164165,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":46.46644590339567,""y"":49.89865893671288,""width"":0.7276034561164165,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":26.524914126342853,""y"":32.11903801920189,""width"":0.7276034561164165,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":42.301170240703634,""y"":26.999339520551153,""width"":0.7276034561164165,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":79.74810783083473,""y"":30.32811872534054,""width"":0.7276034561164165,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":77.32099150554845,""y"":41.49393735573119,""width"":0.7276034561164165,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":75.32728880977757,""y"":79.23342914578517,""width"":0.7276034561164165,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",26.216,"2025-11-05T14:07:45.221032Z"
100,"1","2025-11-05T14:08:28.574901Z",98,"/data/upload/2/0c0cc170-99_Color.png","[{""x"":30.48558532565309,""y"":74.22900354536634,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":41.1003434473986,""y"":50.77569547536963,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":55.96100481784231,""y"":42.89423756997359,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":21.823942698308763,""y"":29.519642336574254,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":35.92034148398679,""y"":21.39935237343894,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":77.10560299635935,""y"":18.390068445924086,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":79.31347268568243,""y"":29.758474394313527,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":85.93708175365163,""y"":67.68500516331024,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",15.661,"2025-11-05T14:08:28.574914Z"
101,"1","2025-11-05T14:08:47.152281Z",99,"/data/upload/2/483f078c-98_Color.png","[{""x"":32.60853695000219,""y"":73.64012489388094,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":43.08982225472681,""y"":49.67395895339605,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":57.834729458599185,""y"":41.689619546204625,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":21.43204393135912,""y"":29.360105636828987,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":35.27570867171071,""y"":21.111588729036168,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":76.70415722802211,""y"":18.169809971711455,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":78.85761618763236,""y"":29.360105636828987,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":99.36674913630137,""y"":59.87385000202061,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",18.18,"2025-11-05T14:08:47.152293Z"
102,"1","2025-11-05T14:09:04.393565Z",100,"/data/upload/2/f531a232-97_Color.png","[{""x"":27.923184509612863,""y"":75.30308945241177,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":34.02465156184189,""y"":52.329052718529,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":50.39093965487977,""y"":45.06112872984441,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":16.86876185028027,""y"":30.283016619519092,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":31.081590983707898,""y"":22.490187009429516,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":72.715130869506,""y"":23.095847341819894,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":70.05919815265335,""y"":34.07848803583215,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":98.6284203501493,""y"":61.09093886044319,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",16.847,"2025-11-05T14:09:04.393587Z"
103,"1","2025-11-05T14:09:17.138227Z",101,"/data/upload/2/ca948de9-96_Color.png","[{""x"":27.853125311460207,""y"":75.08417038794876,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":52.564282218883754,""y"":51.348892413943894,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":63.09412227565529,""y"":43.897332212478545,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":21.65410656836083,""y"":28.659846928712867,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":31.929192430210485,""y"":22.45021342749175,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":72.77478168268719,""y"":22.88011113142244,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":69.88756747357242,""y"":34.34404990290759,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":98.67479149974623,""y"":61.23653960434984,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",12.357,"2025-11-05T14:09:17.138241Z"
104,"1","2025-11-05T14:09:38.979513Z",102,"/data/upload/2/4ac8d8b5-95_Color.png","[{""x"":21.568871232035207,""y"":74.03627723910957,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":49.64440721554821,""y"":52.31693951188119,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":66.32653595599561,""y"":46.91848708250824,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":33.8164838624129,""y"":26.794413104950493,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":45.52412240616061,""y"":21.6786021640264,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":86.05947710383808,""y"":24.55275994358094,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":82.58870075867871,""y"":35.73418146463415,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":91.89669186615157,""y"":70.59381603172878,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",21.472,"2025-11-05T14:09:38.979524Z"
105,"1","2025-11-05T14:09:59.036330Z",103,"/data/upload/2/d2688214-94_Color.png","[{""x"":19.191482684115876,""y"":77.47037968995105,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":49.25247768489915,""y"":50.4890970060825,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":66.32100874466593,""y"":46.381185612966995,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":41.1003434473986,""y"":24.743001181788777,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":47.95531429793237,""y"":19.49400087484641,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":87.63710271527415,""y"":25.17328446727906,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":82.27317563639149,""y"":36.48781814929719,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":92.52774211072601,""y"":70.41633315044221,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",19.684,"2025-11-05T14:09:59.036343Z"
106,"1","2025-11-05T14:10:14.757334Z",104,"/data/upload/2/191fb594-93_Color.png","[{""x"":16.983612994792814,""y"":69.81244764686468,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":53.10645140294829,""y"":47.72966815435643,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":71.46181775501283,""y"":44.165558985016496,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":65.51755320683534,""y"":25.095737759372938,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":73.35614381981664,""y"":21.7520889510231,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":93.73647941356802,""y"":25.977579203333335,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":88.90268186889621,""y"":37.47826136831683,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":91.45022381811513,""y"":64.7418593440924,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",15.349,"2025-11-05T14:10:14.757351Z"
107,"1","2025-11-05T14:10:28.850461Z",105,"/data/upload/2/eca6703e-92_Color.png","[{""x"":33.248688516729004,""y"":80.35780158089108,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":48.925869742691596,""y"":50.044501944752476,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":61.27164995813714,""y"":42.622336458085805,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":36.8413758810121,""y"":27.373828156270623,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":45.986398262823606,""y"":24.21389631541254,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":83.54631161669234,""y"":26.014322596831686,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":77.60204706851485,""y"":37.00059725283828,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":94.71630324019068,""y"":57.61364100541253,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",13.716,"2025-11-05T14:10:28.850475Z"
108,"1","2025-11-05T14:10:53.645090Z",106,"/data/upload/2/ec8a0b98-91_Color.png","[{""x"":26.919026596746605,""y"":79.19013291147313,""width"":1.2126724268606943,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":57.417676240088,""y"":53.277920572607265,""width"":1.2126724268606943,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":73.6827517620242,""y"":49.236147287788775,""width"":1.2126724268606943,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":57.417676240088,""y"":28.99053747019802,""width"":1.2126724268606943,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":68.52234627514484,""y"":27.44731494326732,""width"":1.2126724268606943,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":99.4898039339934,""y"":28.12403942132484,""width"":1.2126724268606943,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":94.3215024309288,""y"":39.47007631477133,""width"":1.2126724268606943,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":95.54179584137462,""y"":68.88376847053277,""width"":1.2126724268606943,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",24.418,"2025-11-05T14:10:53.645102Z"
