"annotation_id","annotator","created_at","id","img","kp-1","lead_time","updated_at"
1,"1","2025-11-06T09:17:17.956973Z",1,"/data/upload/1/d51934ab-352_Color.png","[{""x"":54.893176866949226,""y"":68.33202780432177,""width"":0.999875015623047,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":53.84292475852542,""y"":43.5985906509419,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":67.2161349391215,""y"":35.99739101622484,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":50.55213481879763,""y"":18.943922405693815,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":63.575260963252425,""y"":68.48956562058535,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",84.582,"2025-11-06T09:17:17.956993Z"
2,"1","2025-11-06T09:41:44.988282Z",2,"/data/upload/1/710d1d68-353_Color.png","[{""x"":54.71629078431229,""y"":68.26958684872159,""width"":0.999875015623047,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":49.97557687854819,""y"":36.07269969764551,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":52.09133122815096,""y"":23.925351449064085,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":29.328732708286676,""y"":19.24698083981313,""width"":0.999875015623047,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":50.92401848354253,""y"":19.12386582378021,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":63.472630488083105,""y"":68.5340255916587,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",31.754,"2025-11-06T09:41:44.988301Z"
3,"1","2025-11-06T09:42:34.461862Z",3,"/data/upload/1/adfb249d-354_Color.png","[{""x"":49.77526194333016,""y"":35.88879246241002,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":51.25490706649693,""y"":23.437578750961645,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":28.409186364801993,""y"":18.5103604908163,""width"":0.999875015623047,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":49.95281935811017,""y"":18.576944521358804,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":29.18714135669653,""y"":66.66419130393942,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",49.083,"2025-11-06T09:42:34.461882Z"
4,"1","2025-11-06T09:42:52.622783Z",4,"/data/upload/1/e07b2705-355_Color.png","[{""x"":58.814118071731315,""y"":36.430620010949646,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":69.52668957765381,""y"":26.584506494476766,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":53.21277349347119,""y"":16.46270179954265,""width"":0.999875015623047,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":72.11731144509912,""y"":21.97652536876746,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":15.823798433584853,""y"":59.47052563949619,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",17.798,"2025-11-06T09:42:52.622803Z"
5,"1","2025-11-06T09:43:17.668341Z",5,"/data/upload/1/b12e2c96-356_Color.png","[{""x"":42.43018518032045,""y"":31.310640982383752,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":49.08178186700435,""y"":20.08607157360467,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":34.51828596352802,""y"":13.03625429581009,""width"":0.999875015623047,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":53.4928407223842,""y"":14.257172371852727,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":24.365848915431545,""y"":62.424359694438046,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",24.668,"2025-11-06T09:43:17.668359Z"
6,"1","2025-11-06T09:43:40.626424Z",6,"/data/upload/1/70be9163-357_Color.png","[{""x"":20.794991746790714,""y"":21.661449736240332,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":26.39633632505084,""y"":11.618413949437995,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":30.597344758745937,""y"":8.034428629441868,""width"":0.999875015623047,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":49.92198355374337,""y"":9.255346705484504,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":29.827159879235165,""y"":61.95174624564736,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",22.581,"2025-11-06T09:43:40.626443Z"
7,"1","2025-11-06T09:43:55.486833Z",7,"/data/upload/1/bcc2a096-358_Color.png","[{""x"":32.837882590049986,""y"":33.910014950732595,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":40.95983222852717,""y"":23.630672439534905,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":23.945748072062038,""y"":11.22456940877908,""width"":0.999875015623047,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":42.710252409233455,""y"":14.139019009655051,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":23.805714457605532,""y"":64.66927357619387,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",14.523,"2025-11-06T09:43:55.486866Z"
8,"1","2025-11-06T09:44:20.878390Z",8,"/data/upload/1/dc750426-359_Color.png","[{""x"":41.3637753471517,""y"":27.417639176639856,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":44.75689754359774,""y"":16.026443231428164,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":30.484240685531066,""y"":9.452268975813963,""width"":0.999875015623047,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":50.4659602868244,""y"":10.391436726615991,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":24.075009870021884,""y"":61.10649526992551,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",25.045,"2025-11-06T09:44:20.878411Z"
9,"1","2025-11-06T09:44:44.514475Z",9,"/data/upload/1/03c3c900-360_Color.png","[{""x"":24.344305282438235,""y"":27.56911784612406,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":27.845145643850817,""y"":15.602302956872407,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":30.538099768014337,""y"":9.361381774123444,""width"":0.999875015623047,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":50.19666487440805,""y"":10.36114099271915,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":27.198836654051572,""y"":28.841538669791323,""width"":0.999875015623047,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":24.075009870021884,""y"":20.661690517644622,""width"":0.999875015623047,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":24.128868952505155,""y"":61.07619953602869,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",23.286,"2025-11-06T09:44:44.514505Z"
10,"1","2025-11-06T09:45:02.771083Z",10,"/data/upload/1/ba60200b-361_Color.png","[{""x"":27.936706084072377,""y"":27.8448090245853,""width"":0.999875015623047,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":28.426823734670137,""y"":15.478090447895362,""width"":0.999875015623047,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":31.787630481626213,""y"":9.64919124614342,""width"":0.999875015623047,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":52.51260542118869,""y"":10.94887823031784,""width"":0.999875015623047,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":40.39969777070115,""y"":64.23604458146906,""width"":0.999875015623047,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",17.911,"2025-11-06T09:45:02.771104Z"
