fold type, shirt type, success, failed steps
*, big, 1,
*, big, 1,
*, big, 1,
*, big, 1,
*, big, 0, 3
*, big, 1,
*, big, 1,
*, big, 1,
*, big, 0, 1
*, big, 1,
*, big, 0, 4
*, big, 1,
*, big, 1,
*, big, 0, 2
*, big, 1
*, big, 1
#, big, 1,
#, big, 0, 45,
#, big, 1,
#, big, 1
#, big, 1
#, big, 1
#, big, 1
#, big, 1
#, big, 1
#, big, 1
#, big, 0, 2,
#, big, 1, 
#, big, 1,
#, big, 1,
#, big, 1,
#, big, 1,
#, small, 1,
#, small, 1,
#, small, 0, 4
#, small, 1,
#, small, 1,
#, small, 1,
#, small, 0, 4
#, small, 0, 4
#, small, 1
#, small, 1
#, small, 0, 4
#, small, 0, 2
#, small, 1,
#, small, 1,
#, small¸ 0, 45
#, small, 1,
*, small, 1,
*, small, 1,
*, small, 1,
*, small, 1,
*, small, 1,
*, small, 1,
*, small, 1,
*, small, 1,
*, small, 0, 2
*, small, 0, 2
*, small, 1,
*, small, 1,
*, small, 1,
*, small, 1,
*, small, 1,
*, small, 1,
