Image_Index,Landmark_Index,Visibility_Score
0,0,-0.176607
0,1,0.190696
0,2,-0.000430
0,3,-0.141729
0,4,0.007572
0,5,-0.006041
0,6,-0.126065
0,7,-0.056709
0,8,-0.109719
0,9,-0.020773
0,10,0.031149
0,11,-0.096384
0,12,0.096364
0,13,0.152616
0,14,-0.132415
0,15,-0.109500
0,16,0.272456
0,17,0.177108
0,18,0.142271
0,19,0.007891
0,20,0.373366
0,21,-0.075912
0,22,-0.007182
0,23,-0.088662
0,24,-0.088687
1,0,-0.219418
1,1,0.274846
1,2,0.051092
1,3,-0.188595
1,4,0.044968
1,5,-0.095652
1,6,-0.127608
1,7,-0.103798
1,8,-0.173044
1,9,-0.055590
1,10,0.066934
1,11,-0.047292
1,12,0.107592
1,13,0.199330
1,14,-0.259777
1,15,0.004451
1,16,0.219415
1,17,0.221024
1,18,0.116160
1,19,0.066010
1,20,0.462574
1,21,-0.134737
1,22,0.026418
1,23,-0.090038
1,24,-0.102405
2,0,-0.170689
2,1,0.213108
2,2,0.004464
2,3,-0.155946
2,4,0.019108
2,5,-0.004112
2,6,-0.132496
2,7,-0.054418
2,8,-0.125254
2,9,-0.016922
2,10,0.004302
2,11,-0.094017
2,12,0.104336
2,13,0.169328
2,14,-0.146246
2,15,-0.103749
2,16,0.275777
2,17,0.165651
2,18,0.143980
2,19,0.002620
2,20,0.374885
2,21,-0.087035
2,22,-0.009710
2,23,-0.104358
2,24,-0.112014
3,0,-0.229668
3,1,0.353080
3,2,0.101861
3,3,-0.293968
3,4,0.074504
3,5,-0.225010
3,6,-0.133217
3,7,-0.186447
3,8,-0.264277
3,9,-0.053113
3,10,0.069670
3,11,-0.024907
3,12,0.105626
3,13,0.247594
3,14,-0.409030
3,15,0.059914
3,16,0.201108
3,17,0.245333
3,18,0.110088
3,19,0.113161
3,20,0.540396
3,21,-0.164504
3,22,0.034255
3,23,-0.170979
3,24,-0.151508
4,0,-0.202756
4,1,0.226911
4,2,0.002566
4,3,-0.200296
4,4,0.019659
4,5,-0.085482
4,6,-0.121226
4,7,-0.058324
4,8,-0.199739
4,9,-0.008407
4,10,0.035146
4,11,-0.097248
4,12,0.070762
4,13,0.186876
4,14,-0.237545
4,15,-0.085406
4,16,0.254452
4,17,0.240258
4,18,0.156422
4,19,0.058329
4,20,0.439287
4,21,-0.081347
4,22,0.027722
4,23,-0.110279
4,24,-0.097553
5,0,-0.226571
5,1,0.360950
5,2,0.031791
5,3,-0.303695
5,4,0.082198
5,5,-0.209621
5,6,-0.133284
5,7,-0.093463
5,8,-0.262966
5,9,-0.048981
5,10,0.094258
5,11,-0.088700
5,12,0.032348
5,13,0.244565
5,14,-0.372514
5,15,0.069371
5,16,0.215101
5,17,0.313858
5,18,0.103705
5,19,0.130378
5,20,0.494952
5,21,-0.114927
5,22,0.048225
5,23,-0.123548
5,24,-0.125574
6,0,-0.203296
6,1,0.347364
6,2,0.094388
6,3,-0.243663
6,4,0.067015
6,5,-0.185077
6,6,-0.120990
6,7,-0.146323
6,8,-0.182627
6,9,-0.033493
6,10,0.095687
6,11,-0.021329
6,12,0.098200
6,13,0.256795
6,14,-0.340613
6,15,0.050539
6,16,0.235224
6,17,0.214279
6,18,0.099063
6,19,0.061299
6,20,0.529661
6,21,-0.133770
6,22,0.049295
6,23,-0.082679
6,24,-0.106093
7,0,-0.226123
7,1,0.269015
7,2,0.089856
7,3,-0.257508
7,4,0.054555
7,5,-0.078975
7,6,-0.136360
7,7,-0.140030
7,8,-0.185377
7,9,-0.016512
7,10,0.069604
7,11,-0.060131
7,12,0.114611
7,13,0.225592
7,14,-0.274035
7,15,0.020041
7,16,0.254182
7,17,0.234296
7,18,0.079855
7,19,0.054833
7,20,0.451614
7,21,-0.109410
7,22,0.014269
7,23,-0.133001
7,24,-0.114915
8,0,-0.215829
8,1,0.307649
8,2,0.036365
8,3,-0.277057
8,4,0.049970
8,5,-0.207415
8,6,-0.092922
8,7,-0.151400
8,8,-0.205241
8,9,-0.010564
8,10,0.110638
8,11,-0.060549
8,12,0.104517
8,13,0.259533
8,14,-0.367958
8,15,0.029997
8,16,0.240043
8,17,0.278770
8,18,0.077686
8,19,0.114135
8,20,0.568554
8,21,-0.093306
8,22,0.070450
8,23,-0.107662
8,24,-0.103052
